nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3105, 5.813617232E-03, 3.070569224E-03, 1.670424333E-02, 9.997996710E+06
      3106, 5.774985604E-03, 3.143465938E-03, 1.670423986E-02, 9.998008555E+06
      3107, 5.734696243E-03, 3.215460090E-03, 1.670424164E-02, 9.998017054E+06
      3108, 5.694379575E-03, 3.287439975E-03, 1.670424200E-02, 9.998020706E+06
      3109, 5.652456320E-03, 3.357926764E-03, 1.670424166E-02, 9.998018457E+06
      3110, 5.610502938E-03, 3.428394597E-03, 1.670423989E-02, 9.998011044E+06
      3111, 5.566980693E-03, 3.497903997E-03, 1.670424347E-02, 9.997999711E+06
      3112, 5.523155681E-03, 3.567222192E-03, 1.670423822E-02, 9.997987018E+06
      3113, 5.478048323E-03, 3.635712478E-03, 1.670424522E-02, 9.997974997E+06
      3114, 5.432391173E-03, 3.703837050E-03, 1.670423698E-02, 9.997966155E+06
      3115, 5.385712082E-03, 3.771265155E-03, 1.670424682E-02, 9.997961062E+06
      3116, 5.282584765E-03, 3.914439236E-03, 1.670424729E-02, 9.997961186E+06
      3117, 5.175650311E-03, 4.054794522E-03, 1.670424727E-02, 9.997966841E+06
      3118, 5.064985767E-03, 4.192229505E-03, 1.670424684E-02, 9.997971604E+06
      3119, 4.950671291E-03, 4.326645094E-03, 1.670424611E-02, 9.997971239E+06
      3120, 4.832878287E-03, 4.458020896E-03, 1.670423683E-02, 9.997964073E+06
      3121, 4.711565060E-03, 4.586151283E-03, 1.670423703E-02, 9.997951768E+06
      3122, 4.586211494E-03, 4.710332833E-03, 1.670423364E-02, 9.997937650E+06
      3123, 4.458318280E-03, 4.831906480E-03, 1.670425552E-02, 9.997927989E+06
      3124, 4.327464365E-03, 4.950296036E-03, 1.670424869E-02, 9.997925435E+06
      3125, 4.192522059E-03, 5.063996857E-03, 1.670423021E-02, 9.997931793E+06
      3126, 4.055155332E-03, 5.174757493E-03, 1.670425259E-02, 9.997944541E+06
      3127, 3.915305874E-03, 5.282384071E-03, 1.670426039E-02, 9.997961071E+06
      3128, 3.771655592E-03, 5.384878234E-03, 1.670423159E-02, 9.997976467E+06
